tweet,tactic
One of my favorite pics from our Monday at #TheMasters was @goodwalkspoiled doing work in Amen Corner early Monday morning. @PhilMickelson #pictureperfect,V
I wrote a piece about my recent trip to #themasters @Trifleface pls pass onto SP :)  @jeremychapman3 @brucemillington @mgrenham @DaveClarkRP @GolfMonthly @Bamfordgolf @Betgolfworld @SarahSkySports @NickDougherty5 @RacingPostSport @BeefGolf @ianwilkerson,V
Who runs the world?! 🏌🏼‍♀️💁‍♀️ #girls #themasters #golfbreaks,V
"In this week's episode of my podcast, I eat some crow on my #TigerWoods #TheMasters prediction & talk Durant + #NFL QB contracts",M
"Woods comeback is the greatest I have ever seen in sports, Michael Jordan. Find out more:  #SportPesaNews #TheMasters",N
"🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺 Passionate, Historic, Legendary, Simply Fantastic!.... And that's not just the #AWESOME weekend offers we have on instore right now!!!... #TigerWoods #themasters #majorseason #majoroffers 🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺",V
"Fair is fair, right?! This couple is now naming their son Tiger because @TigerWoods won #TheMasters.",M
"Wrote this piece on @TigerWoods for @theslantmedia do check it out! Cheers for editing @BJT98 #TheMasters #Golf #TigerWoods RT @theslantmedia: “Woods had been at one of the lowest points a man can ever face, caught in a seemingly inescapable bunker, only to return, meaner, hungrier and more determined than ever before.” @joe_rindl’s slant on Tiger Woods’ historic comeback.",V
"Steve Williams has refused to watch any golf on TV since retiring from a career that saw him work with @SharkGregNorman, Adam Scott and @TigerWoods. That changed last Monday. #PlayersVoice #TheMasters",N
"Designed for major performance. @TigerWoods was dialed in with his #P7TW irons ... -  Designed for major performance. @TigerWoods was dialed in with his #P7TW irons at #TheMasters, missing just 7 greens in regulation over his final 54 holes. Learn mo...",V
"So proud to see @TigerWoods using @tagboard to display all the amazing positive posts and messages from around the world on his website! Wow! 🙌 #TheMasters RT @TGRLiveEvents: The world watched as @TigerWoods took home his fifth @TheMasters victory, and celebrities, professional athletes, and fans took to social media to congratulate him. Read more ⬇️⬇️",V
"How boringly awesome. Tiger Woods, IMO, won The Masters on 12 with a condom shot. #themasters #davidfeherty",M
New episode of the podcast drops tomorrow! Check it out! #podcasting #TheMasters #Tigerwoods,V
MJ (@Jumpman23) on Tiger (@TigerWoods) @TheMasters: 'Greatest comeback I've ever seen'  #TheMasters #Masters,N
"Episode 35 is a doozy folks! @mitchmason10 and @lukebigred break down The Big Cat’s improbable comeback at #TheMasters, NBA playoffs jump off to a dramatic start, and we are reminded of the hope and importance of the Easter story. Come hang with the guys!",V
GDG rundown for Holy Weekend 2019 (April 19th-21st)  #MinnesotaTwins #StanleyCupPlayoffs #TheMasters #NFL,V
My piece for the Master himself! @TigerWoods #TigerWoods #Masters #masters2019 #Golf #TheMasters #themasters2019 @atulkasbekar @GolfChannel,V
Tiger Woods winning #TheMasters sees oddsmakers favoring the golfing icon for the remaining major events ⛳️ 🏌,N
"He’s back! Woohooo! Will enjoy reading this! #tigerwoods #themasters #sportsillustrated @ Newark, New Jersey",N
$VIRA Cambridge Golf press  #Cambridge #Golf #espn #sports #golfcentral #ad #wsj #nytimes #reuters #bloomberg #thestreet #forbes #nasdaq #IHub_StockPosts #pgatour #business #cnn #bet #foxnews #bitcoin #blockchain #themasters #cannabis #marijuana #CBD,V
"New pod is out! @keithcourageous and @RoseScholar discuss the #SuperstarShakeUp, #TheMasters, #NBAPlayoffs, and more!",V
Joe LaCava made the right decision! #TheMasters #TigerWoodsYall RT @redsteeze: ████████ ██████████ ██,V
Just watched the green jacket ceremony again because why not. Freaking incredible seeing @TigerWoods do it for the 5th time. Well deserved! #TheMasters,N
"This week we talk #Eagles schedule, #Sixers playoff run, Tiger's win at the #TheMasters, and clutch performers in sports. #NBA #NFL Wildfire Radio - Heat Ratio – Episode 68 -  #iTunes",V
"This week we talk #Eagles schedule, #Sixers playoff run, Tiger's win at the #TheMasters, and clutch performers in sports. #NBA #NFL Wildfire Radio - Heat Ratio – Episode 68 -  #iTunes",V
A tradition unlike any other #TheMasters,M
The latest Billionista Daily!  #themasters #muellerreport,V
The #Millerandlong of #Steel the #MrPetewalker #Phoenixsteel #Williamssteel so many projects together! PT get the anchor bolts right and I’ll make it happen! We never missed a beat! #Ontime #GeicoHQ #SalliemaeHQ #CTTC it’s a long list! #Themasters #Safety #Quality #Production,V
"Tiger Woods, Alex Rodriguez author sketchy tales of redemption, @thomloverro writes.  #TigerWoods #TheMasters #AlexRodriguez",N
Congrats to Chad Dickens @ChadDickens4 for winning our “Play It Where It Lies” #TheMasters giveaway. Chad is ready for the #golf! (ProV1s not pictured but don’t worry we’re not giving him these DT Solos @hrw23 just had em laying around for when he runs outta Noodles💁‍♂️),V
Spending $100 at #TheMasters - Some curious comments in the comments section on this one... #ImAMillionaire ;-),M
Which of the next three majors do you think Tiger has the best chance of winning? #TigerWoods #TheMasters,N
Tiger Woods Roars – #TheMasters Review by @Janetcesanek  via @LWOSports @lastwordonsport #PGA #PGATour #Golf #LWOS,N
"#OKState's Viktor Hovland won the Silver Cup at #TheMasters. Story for @GolfOKmagazine about Hovland playing at Augusta, learning from professionals and sitting beside Tiger Woods in Butler Cabin:",V
"This weekend #TheMasters showed us that old Tiger we all grew up idolizing. I was never a golf fan, but I loved Tigers killer instinct. That’s why I always wore red on Sundays. I’d always…",N
I don’t care if you like Tiger or not it’s hard not to choke up when Tiger hugged his kids on 18 #Tiger #theMasters,N
"Still in shock over Tigers comeback, I don’t think people realize the man COULD not walk 2 years ago because his back was so bad. One of the greatest comeback stories of all time #Tiger #Themasters",N
My father featured in golf magazine. The legend of Harry grows #themasters #FeartheStache,N
"My take (un-redacted) on the Masters, posted at my weekly blog.  (Photo credit: The Weekly Opine) #TheMasters #TigerWoods #PGATour",N
UNIR1 News US is out!  #muellerreport #themasters,V
"Tiger Woods won #TheMasters this year, but the other champ that was crowned at Augusta that week is 13-year old Matthew Vital from Bethlehem. @Johnnymangano has more:",V
"What was it like at Augusta last Sunday when Tiger won #TheMasters? @jtedscott talked about that, his relationship with Bubba Watson, and more:",N
Been a little out of touch lately. 1. Who won The Masters? #TheMasters 2. Has there been any coverage on AG Barr re the Mueller Report? #MuellerReport,M
"Michael Jordan calls Tiger Woods' win at #TheMasters ""the greatest comeback I've ever seen.""",N
"How does Tiger Woods’ #TheMasters win change golf betting? @SportsCheetah, @JoeFortenbaugh and @chrisfallica debate:",M
"Everyone keeps making a big deal about Tiger chewing gum during #TheMasters, but I've chewed gum while shooting darts for like 2 years so... yeah #ItWorks #Tiger #darts #IWasFirst",M
�� Donal McCarthy #Friendsofkieran #aroundtheworld  #Augusta #georgia #USA #TheMasters @TheMasters,V
When Alexandre Bader + Geoffrey Loisel of @_Billecart POP in during #mastersweek #tbt #thewhitehorse 🇫🇷 🥂 #serendipity #billecartsalmon #champagne #themasters #surreycenter #augustaga #loveaugusta #shoplocal,V
"I took in every moment of #TheMasters . It was an unforgettable experience and to do it with the man @MaxAdlerGD and @GolfDigest who started all of this means the world to me. I can’t wait to show you what’s next. -V.D. #freedom #golf RT @GolfDigest: From drawing Amen Corner in his jail cell to seeing it in person, it was a memorable week for Valentino Dixon at Augusta National. Our own @MaxAdlerGD recaps his week at the Masters:",N
��[LIVE] Chasing Builds!! Run It! 📽 #TheDivision2 📺  #RyoTFAM #NerddomUnited #newbstreamteam #Xbox #ninja #streaming #Blackout #SupportSmallStreamers #Themasters #ApexLegends #Apex #gameofthrones #forthethrone,V
Make sure to head over to our Facebook or Instagram (@sgwcorp) and participate in this month's putting green contest! We're celebrating #TheMasters in style by giving away a $50 Amazon gift card. ⛳ #giveaway #contest,V
Ever wonder what the stitching is like on #TheMasters green jacket? Me neither.,N
ICYMI: @PSM1Team Director Tommy Schoegler joined @BrettRumpSports on @SportsRush1380 to recap #TheMasters talks biggest post-season upsets in sports history & what's new with PSM. Listen:,V
Loving my first career Amazon Purchase #TigerWoods #goat #TheMasters,N
"We have a great show coming up tonight! Joining us in studio is @dirrim23! He'll be in to talk everything NBA Playoffs. We'll also be breaking down Tiger's historic #TheMasters win, the #StanleyCup Playoffs, #NASCAR, Ball State Sports, and more! See you at 6!",V
New episode of @HWYWHoney Check out Ep 114: Take Me To Augusta  Chatting #passwords #FestofAle #theMasters #whalepuke #90smoviebracket #craftbeer #cheating @olinernotes 100 #momlife #DadLife #Podcast #pod #marriedlife #parenting,V
"What does The Sports Professor think about #TheMasters, the SEC shakeup and the #NFLDraft? He joins Calling All Sports now. LISTEN LIVE on @SBNationRadio:",V
#TBT: I still can’t believe I was fortunate enough to experience Augusta National with my Dad last week. Simply amazing! ⛳🏌️ #TheMasters #BucketList #SageAgeTakeover,N
"Brandon Lang took one on the chin when Francisco Molinari hit the water on 12 at #TheMasters, ruining a huge futures bet, so he took the chance to get it off his chest to @JenksNBCS & @TravisThomasExp.",N
Y'all don't count us out. Dark Skin Girls Are Beautiful Too #DarkNLovely #InMyfeelings #IAmHealed #CancerPatient #cancersurvivor lord's will #BlackGirlsRock #TheMasters #GodIsReal #lecheminduroi,V
Hanging with Mayor Hardie Davis of Augusta during #themasters last week! Great interview with him as well!,N
"NEW Golf Intro Golf Ball Insulated Tumbler"" w/logo #golftournament #golf #golfouting #golfing #golfaddict #lovegolf #golfday #golftime #holeinone #livingthegreen #growthegame #golflife #teetime #golfseason #golfswing #holeinone #tiger #tigerwoods #masters #themasters #usopen #pga",V
GOLF TOWELS make the best outing tournament gifts! #golftournament #golf #golfouting #golfing #golfaddict #lovegolf #golfday #golftime #holeinone #livingthegreen #growthegame #golflife #teetime #golfseason #golfswing #holeinone #tiger #tigerwoods #masters #themasters #usopen #pga,V
HashBrown Sessions is bringing #ThePassion #TheMasters out to play now. It's time to hear Kimberley out and what they have #news #MAGA #modeltown #fashion #music #photography #WritingCommunity #poet #HashbrownSessions,V
"Shoe Bear®️ visits historic Daniel Field. Augusta, Georgia. #♻️ #Recycle #Reuse #GoGreen #GreenLiving #RecyclePlastic #ShoeBears #GooglyEyes #TBT #MastersWeek #TheMasters #PrivateFlights #DanielField #Airport #Golf #TigerWoods #GreenJacket #Championship #GA",V
"Of all the events Jim Nantz has called, where does @TigerWoods historic win at #TheMasters rank?",N
Soooo #golfmates here are the new additions to my bag and in hopes of taking my golf to the next level @TaylorMadeTour M6 driver . @MizunoGolfEU jpx919 forged and s18 56 degree wedge . Can not wait til they come #j2s #golf #workhard #tattooedgolfer #themasters,V
�� The impact of Woods' landmark victory 🏌️‍♂️McIlroy's disappointing performance at Augusta 🥩 What's on Woods' menu? @jcorrigangolf joins @MrAndrewCotter & @iaincartergolf on the latest episode of The Cut. ⛳️📲:  #bbcgolf #TheMasters,V
"I am wondering what the bettor might be doing with the $1,190,000 that was won on a 85,000 bet for Tiger Woods to win @TheMasters #TheMasters",M
"🎈The Value of Blowing Up a Balloon 🎈  - here’s why are use this technique every day, our response to #TheMasters and @JDayGolf warm up.",V
$VIRA Cambridge Golf Shareholder Information  #Cambridge #Golf #espn #sports #golfcentral #ad #wsj #nytimes #reuters #bloomberg #thestreet #forbes #pgatour #business #cnn #bet #foxnews #bitcoin #blockchain #themasters #crypto #cannabis #marijuana #CBD,V
"just in case he wants to be a future masters champ, we took him to @topgolf to get him hyped to play! ⛳️ #banksharrison #lifewithbrittany #themasters",N
"Going to #themasters is mostly about watching your heroes (yes Tiger!) fight for the victory, but it's also about getting in a few rounds yourself. @YGTRory and his dad are in Kiawah Island for that very reason now Check out the Ocean Course ➡️",N
Modern back surgery helped Tiger Woods make a stunning comeback! #themasters #tigerwoods #spinaldoctor,N
Where were you? #themasters #H15TORY #GWSlice #TheSlice 🎙 Listen to our latest podcast here:,V
There's no sense in going to a tournament if you don't believe that you can win it. And that is the belief I have always had. And that is not going to change. Tiger Woods #winning #TheMasters,N
"Savor, enjoy and admire Tiger's triumph at #TheMasters. But remember it's up to you to grow your business, writes @PatJonesTweets.",V
Check out the @bridgestonegolf ball that won #TheMasters,N
The Crazy Story Behind the $1.19M Tiger Wager: Winning Bettor Says It Was His First Sports Bet  #TheMasters #Lucky,M
A priceless trip to #themasters with mldanner #tbt #🐅🐅🐅🐅🐅 #whereiswaldo #grilledpimentocheese #🐅roarsarereal,V
TV meteorologist speaks out after receiving backlash - and even death threats - for interrupting #TheMasters final round for severe weather coverage.,M
"Another #TBT to our latest pod and a great conversation between the guys after watching Tiger Woods win his 5th green jacket at #TheMasters. This is the first part of the convo, take a listen, and check out the full pod wherever you get your #podcasts!",V
You are not worth it!!! You and your followers are a disgrace. You will NEVER be the BEST! @TigerWoods #Golf #TheMasters,D
"One more time, with feeling. The greatest four minutes in sports television history by all accounts. #tiger #TheMasters #CBS RT @TheMasters: Roaring back. #themasters",N
"I'm not all that familiar with Tiger Woods' values (outside of his Sports Illustrated for Kids rookie). Who knows what the last sale price was for this @UpperDeckSports SP Authentic autograph in PSA 10? Currently at $35,000 at auction #TheMasters",N
Great look at #TexasTech vs BU with @MattRobertsTV plus his inside view of #TheMasters The special guest at the end was a huge surprise.... #WreckEm RT @talk1340: Big thanks to @MattRobertsTV for joining @RyanHyattMedia's Raiderland this morning to talk Texas Tech vs Baylor baseball this weekend. They even had a special guest join at the end.. Listen here:,V
"The Masters hangover 🚮#throwbackthursday 🚨I understand how hard it is to let things go, but do your very best to #letitgo 👊🏼 #themasters #mistakes #mental #golfcoach…",V
#scrutinize the #MuellerReport being released as the #RedactedMuellerReport due to the #Trump #stooge #bootlicker known as #WilliamBarr the u.S. #AttorneysGeneral behaving a #legalcounsel for the #disingenuous #DonaldTrump; #ThursdayThoughts; #TheMagicWall; #TheMasters; etc etc,V
Could you guys fit into the same size blazer that you wore at 21 years old? #TheMasters Jim Nantz with the crystal clear landline. NICE. @RichEisenShow @richeisen @chrisbrockman @MichaelDelTufo,M
"¡#Trump with #TheMasters - the #disingenuous #DonaldTrump with His: #FinancialSponsors, #TrumpTrolls, #TrumpBots, #Partners, #Associates, #Investors, #Trumpers to sadly include #Veterans #MilitaryVeterans must be #discredited RT @TRMmovement:",V
"Our first upload is out now on the Asylum channel! Take a second and like, comment and subscribe.  Editor: @CallMeKarat Player: @_Zikyo #TheMasters #Potency ☣️",V
"Our first upload is out now on the Asylum channel! Take a second and like, comment and subscribe.  Editor: @CallMeKarat Player: @_Zikyo #TheMasters #Potency ☣️",V
Talking #TheMasters #NFLScheduleRelease and more w/ Jim Nantz LIVE now! 📺 @AudienceSports 💻 @brlive 📱,V
Don’t forget about the chewing gum for that extra Tiger greatness _ via: pgamemes #tigerwoods #victoryred #themasters #golfbug #taylormadegolf #teamtaylormade #nikegolf #swooshstaff…,M
#WikiLeaks' #JulianAssange; #BradleyManning born as #BradleyEdwardManning now known as #ChelseaElizabethManning or simply #ChelseaManning revealed the #evildeeds of the #army and u.S. #government who are #TheMasters of #Evil; #ThisMorning; #ThrowBackThursday,V
"My boss is the 🐐 want to know what Jordan thought of Tiger Woods victory at #TheMasters? Read here:  RT @davidaldridgedc: For the lunch/break crowd: like a lot of people, Michael Jordan watched Tiger Woods win the Masters with awe and wonder. Like almost no one else, MJ could relate to how Woods did it. I talked with him about it in @TheAthleticDC:",N
"The @OccupyWallStNYC distinguishes between the #Elites and the #Elitists, the Elitists only care about few people and organizations and institutions; #TheMasters include the #Bankers, the #militaryindustrialcomplex, #theocracies; #OWS #OccupyWallStreet",V
"To honor Tiger Woods for winning #TheMasters, .@SInow did something rare, placing him on the cover w/out headlines — only him celebrating his victory. This has happened 2 other times in SI's history. The “Miracle on Ice” at the 1980 Winter Olympics & Mickey Mantle's death in 95.",N
"EVERY. SHOT. Every Ball Fitting session, every range session, every Bridgestone Golf ball struck led to this historic moment. Congrats to @TigerWoods on winning #TheMasters and his 15th Major Championship. #1BallFitterInGolf #TOURBXS🔵 #ItFits",N
#ICYMI #new #episode of the #podcast is now out! - #TigerWoods wins #TheMasters - We've never watched #GOT and never will - #Sixers playoffs - #Flyers new coach & more  #GamefThrones #HereTheyCome #PhilaUnite #2AngryOldMen,V
#ICYMI #new #episode of the #podcast is now out! - #TigerWoods wins #TheMasters - We've never watched #GOT and never will - #Sixers playoffs - #Flyers new coach & more  #GamefThrones #HereTheyCome #PhilaUnite #2AngryOldMen,V
"Can the advice Joe LaCava offered @TigerWoods last Sunday, help us, mere mortals? We think so! #JoeLaCava #TheMasters #TigerWoods",V
Tiger’s Back! But can golf roar again? We discuss if golf can get people playng again after @TigerWoods Masters Victory Read here ⤵️ #TheMasters #Recruitment #HR,V
Miss last night's show? Check out our latest podcast where we break down Tiger's win at @TheMasters and just how much it means to the sport of golf!  #TheMasters #Tiger,V
"From rock bottom to @TheMasters champion, @JeffShain takes us through Tiger's long and difficult climb back to the top of the golf world!  #TheMasters #Tiger",N
#ThursdayThoughts from #chess grandmaster Richard Reti #ChampionsLeague #winners #belike #TheMasters #NationalHighFiveDay #winningtips #MotivationalQuotes @theworldchess @WorldChessHOF @SanJoseHackers @PROChessLeague @ChessQuotes @motivational @inspower @BayAreaSportsHQ #chesstv,V
The GOLFBUDDY aim L10 was used during #TheMasters practice rounds by pro golfers Bernhard Langer and Sandy Lyle. Play like a pro today with GOLFBUDDY's aim L10 Laser Rangefinder. #aimtowin RT @GolfBuddy: The aim L10 has been chosen by more than 100 PGA Tour Champions players and caddies this year - including Bernhard Langer and Sandy Lyle! #TheMasters #aimtowin,V
��My favorite podcast yet!🚨Even though my voice is gone from screaming after @TigerWoods win at @TheMasters…I still managed to do a podcast about it!🏌️⛳️🐐 #golf #TheMasters #TigerWoods #golfpodcast #Podcast #TaylorMadeGolf LISTEN HERE ——>,V
"🏌️‍♂️Woods’ Return to Prominence Generates Interest, Won’t Change Golf’s ⛳️Fortunes  Sign-up for our free #sportsbiz newsletter at  #TigerWoods #TheMasters #Tiger @Nike @MonsterEnergy @bridgestonegolf @TaylorMadeGolf @TigerWoods",N
***NEW VIDEO ALERT*** I hope you cupcakes enjoy my new spring look! Be sure to lve a comment and subscribe!!! #MakeupAddict #makeuptutorial #makeupartist #makeuplover #makeup #trapLAXradio #RadioImpact #quote #typebeat #QSPNPageant #TheMasters,V
��Fav Podcast Yet🚨We recap @TigerWoods amazing @TheMasters victory! Best comeback ever? Is 18 back on? @brianwacker1 and I discuss! Warning: My voice is bad from Sunday’s win! 🐐🏌️⛳️ #podcast #golfpodcast #golf #TheMasters #TigerWoods LISTEN HERE——>,N
⁦@TigerWoods⁩ back in the game — big time #winning #TheMasters,N
⛳ @IBM's campaign for #TheMasters was a Hole-In-One! See how they made the most of the partnership! #sportsbiz #sponsorship #IBM,N
"Still got #TheMasters on your mind? 🤔 Come play golf with some of the best in Columbia on May 9th! ⛳ Don't miss the 34th Annual Golf Tournament, presented by intelliSystems! *Sponsorships including a team available* Register now >&gt;&gt;  #ColaGolf",V
Book for the 2020 Masters in Augusta. We've been delivering tailor-made #tours for 16 years:  #themasters #Golf,N
• ⚽️🏀🏈⚾️🏒 SPORTS FOLLOW TRAIN! ⚽️🏀🏈⚾️🏒 • •🔥RETWEET THIS TWEET TO CONNECT ALL SPORTS FANS🔥 • • FOLLOW US • • REGISTER FOR FREE NOW AT  • #TheMasters #NBA #MLB #NHL #NHLPlayoffs #StanleyCup #NBATwitter #NBAPlayoffs #ChampionsLeague,V
The undisputed GOAT weighs in on Tiger’s comeback and victory 🐐🐅 #TheMasters #Tiger #imadebogey,N
"#ThrowbackThursday to when our very own CEO, @beasleyreece sat down with @TigerWoods to talk about his return to golf. Congratulations on the big win at @TheMasters! #NFLAlumni #BeasleyReece #TigerWoods #TheMasters #Golf",M
"The excitement of #TheMasters may be behind us, but Harbor Town Golf Links is bustling with some great golf! @DJohnsonPGA, @XSchauffele, @b_dechambeau, and many other favorites are competing at the @RBC_Heritage. Who is your money on?  @golfweek",M
"Today's Show: 12:20pmET - @UMichFootball @RashanAGary 1:20 - #Breakthrough @realmikecolter 2:20 - @CBSSports Jim Nantz plus, your phone calls, #NFLScheduleRelease, #NBAPlayoffs, #NHLPlayoffs, #TheMasters, #Jeopardy, #JoshRosen speaks, #Gronk dents Lombardi and more!",V
Why are people so tough behind a keyboard? #nipseyhussle #pushat #magic #lakers #profoundly #anonymous #Tigerwoods #TheMasters #auntbecky #2ampod #podsincolor #PodernFamily #trypod #linkinbio #podcast,V
"#TBT: On the morning of April 13, 1997, @TigerWoods lead #TheMasters by 9 strokes heading into the final round. The Star's Dave Perkins wrote this from Augusta: We may be witnessing the next greatest golfer in the game who might dominate for two decades.",N
